variable,test_log_likelihood,test_mse,train_residual_variance
age,-20886.162040717383,19.369776546313236,19.673831628365352
height_cm,-25960.272621778466,79.12871577777777,84.66234622035486
weight_kg,-13426.601858987378,2.4138691274015853,2.8003861838503505
duration_minutes,-24011.23071172097,46.14262903284144,47.00916671368798
calories_burned,-18555.821947543758,10.138027852802841,9.926238874082783
avg_heart_rate,-27480.04630319956,120.60509016324266,111.7999243017215
hours_sleep,525.0531354119872,0.05058451716676311,0.052013738034403206
stress_level,-7154.153259727162,0.4271301290104167,0.4227101704746693
daily_steps,-61505.432259798676,1539479.5055580246,1546485.9638076941
hydration_level,4139.6552966908675,0.018538587725694444,0.018254822580645164
bmi,-18609.18636132489,10.232212066633243,11.418309735065383
resting_heart_rate,-21605.573895726287,23.509826101200986,26.347419657817266
blood_pressure_systolic,-26980.157647928347,105.07625624999999,98.81759713878954
blood_pressure_diastolic,-25480.97477423406,69.4004888888889,67.79067606514114
fitness_level,-19583.87298508728,13.491782985457098,13.442079677802553
